date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:54	24941/24941	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc32-616d%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod12.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod12.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:54	11988/11988	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc32-2ed4%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod13.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod13.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:54	13642/13642	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc33-354a%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod14.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod14.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:55	19780/19780	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc33-4d44%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod15.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod15.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:55	1183/1183	U-----	200	untouched ('')	image/png	etag:%2265cbfc4d-49f%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/pay/pay5.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/pay/pay5.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:20:55	23738/23738	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc33-5cba%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod16.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod16.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:55	21250/21250	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc33-5302%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod17.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod17.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:55	20386/20386	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc33-4fa2%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod18.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod18.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:55	13081/13081	---M--	200	added ('OK')	image/png	etag:%2265cbfc33-3319%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod19.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod19.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:56	11079/11079	---M--	200	added ('OK')	image/png	etag:%2265cbfc34-2b47%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod20.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod20.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
